"ID","Ref_Short","Ref_Long","Type"
"512","Feuerle 2010","Feuerle, Mark, &#60;cite&#62;Nienburg. Eine Stadtgeschichte&#60;/cite&#62; (Bremen, 2010).",NULL
"514","Korte 1995","Korte, Horst, &#60;cite&#62;Geschichte der Stadt Achim und ihrer Ortsteile, Teil 1: Von der Vorzeit bis zum Ende des Dreißigjährigen Krieges&#60;/cite&#62; (Bremen, 1995)",NULL
"516","Hucker 1995","Hucker, Bernd Ulrich, &#60;cite&#62;Stift Bassum. Eine 1100jährige Frauengemeinschaft in der Geschichte&#60;/cite&#62; (Bremen, 1995).",NULL
"518","Schomburg 1964","Schomburg, Dietrich, &#60;cite&#62;Geschichtliches Ortsverzeichnis des Landes Bremen&#60;/cite&#62; (Hildesheim, 1964).",NULL
"520","Dienwiebel 1988","Dienwiebel, Herbert, &#60;cite&#62;Geschichtliches Ortsverzeichnis der Grafschaften Hoya und Diepholz, A-K&#60;/cite&#62; (Hildesheim, 1988)",NULL
"522","Schwarzwälder 1989","Schwarzwälder, Herbert, &#60;cite&#62;Die 800jährige Geschichte von Ottersberg. Burg und Festung - Amt und Flecken. I. Teil: Bis zur Franzosenzeit 1813&#60;/cite&#62; (Fischerhude, 1989).",NULL
"524","Kohlrausch 1994","Kohlrausch, Dietmar, &#60;cite&#62;800 Jahre Rotenburg (Wümme). Von der bischöflichen Residenz zur modernen Kreisstadt&#60;/cite&#62; (Rotenburg, 1994).",NULL
"526","Nerger 1992","Nerger, Karl, &#60;cite&#62;Geschichte der Stadt Verden bis in die Anfänge des 20. Jahrhunderts&#60;/cite&#62; (Verden, 1992).",NULL
"528","Hucker 2000","Hucker, Bernd Ulrich, &#60;cite&#62;Drakenburg. Weserburg und Stiftsflecken, Residenz der Grafen von Wölpe&#60;/cite&#62; (Drakenburg, 2000).",NULL
"530","Müller 1926","Müller, Johanna, &#60;q&#62;Handel und Verkehr Bremens im Mittelalter, I. Teil&#60;/q&#62;, &#60;cite&#62;Bremisches Jahrbuch&#60;/cite&#62; 30 (1926), 204-262.",NULL
"532","Müller 1928","Müller, Johanna, &#60;q&#62;Handel und Verkehr Bremens im Mittelalter, 2. Teil&#60;/q&#62;, &#60;cite&#62;Bremisches Jahrbuch&#60;/cite&#62; 31 (1928), 1-107.","secondary"
"534","Hofmeister 1993","Hofmeister, Adolf E., &#60;q&#62;Das Bremer Kornakzise- und Tonnengeldregister von 1532&#60;/q&#62;, &#60;cite&#62;Bremisches Jahrbuch&#60;/cite&#62; 72 (1993), 51-97.","secondary"
"536","Witzendorff 1955","Witzendorff, Jürgen von, &#60;q&#62;Bremens Handel im 16. und 17. Jahrhundert&#60;/q&#62;, &#60;cite&#62;Bremisches Jahrbuch&#60;/cite&#62; 44 (1955), 128-174.",NULL
"538","Schmidtmayer 1937","Schmidtmayer, Alfred, &#60;q&#62;Zur Geschichte der bremischen Akzise&#60;/q&#62;, &#60;cite&#62;Bremisches Jahrbuch&#60;/cite&#62; 37 (1937), 64-79.",NULL
"540","Schwineköper 1975","Schwineköper, Berent (ed.), &#60;cite&#62;Handbuch der Historischen Stätten Deutschlands. Bd. 11: Provinz Sachsen-Anhalt&#60;/cite&#62; (Stuttgart 1975)",NULL
"542","Wohlbrück 1829","Wohlbrück, Siegmund Wilhelm, &#60;cite&#62;Geschichtliche Nachrichten von dem Geschlechte Alvensleben, Dritter Theil&#60;/cite&#62; (Berlin 1829)",NULL
"544","Pfeiffer, 1997","Pfeiffer, Friedrich, &#60;cite&#62;Rheinische Transitzölle im Mittelalter&#60;/cite&#62; (Berlin, 1997)","secondary"
"546","Stukken, 1810"," &#60;cite&#62;Stukken betrekkelijk Utrechtsche geschiedenissen&#60;/cite&#62; (Utrecht, 1810)",NULL
"548","Inventaris 221","&#60;cite&#62;Inventaris 221 Kapittel van Sint Marie te Utrecht&#60;/cite&#62;, https://hetutrechtsarchief.nl/onderzoek/resultaten/archieven?mivast=39&#38;miadt=39&#38;mizig=210&#38;miview=inv2&#38;milang=nl&#38;micols=1&#38;mires=0&#38;micode=221&#38;mip2=1666#inv3t2 ",NULL
"550","Kleinau 1968","Kleinau, Hermann, &#60;cite&#62; Geschichtliches Ortsverzeichnis des Landes Braunschweig&#60;/cite&#62;, Geschichtliches Ortsverzeichnis von Niedersachsen 1 (Hildesheim, 1968)",NULL
"552","Schwarzwälder 1987","Schwarzwälder, Herbert and Inga, &#60;cite&#62;Reisen und Reisende in Nordwestdeutschland. Beschreibungen, Tagebücher und Briefe, Itinerare und Kostenrechnungen. Band 1: bis 1620&#60;/cite&#62; (Hildesheim, 1987).",NULL
"554","Harteisen 2018","Harteisen, Ulrich et al., &#60;cite&#62;Das Eichsfeld. Eine landeskundliche Bestandsaufnahme&#60;/cite&#62;, Landschaften in Deutschland 79 (Vienna, Cologne, Weimar, 2018).",NULL
"556","Wohltmann 1956","Wohltmann, Hans, &#60;cite&#62;Die Geschichte der Stadt Stade an der Niederelbe&#60;/cite&#62; (Stade, 1956).",NULL
"558","Reißmann 1975","Reißmann, Martin, &#60;cite&#62;Die hamburgische Kaufmannschaft des 17. Jahrhunderts in sozialgeschichtlicher Sicht&#60;/cite&#62; (Hamburg, 1975).",NULL
"560","Pitz1961","Pitz, Ernst, &#60;cite&#62;Die Zolltarife der Stadt Hamburg&#60;/cite&#62;, Deutsche Zolltarife des Mittelalters und der Neuzeit, Teil II (Wiesbaden, 1961).",NULL
"562","Hormuth Jahnke Loebert 2006","Hormuth, Dennis, Carsten Jahnke and Sönke Loebert, &#60;cite&#62;Die Hamburgisch-Lübischen Pfundgeldlisten 1485-1486&#60;/cite&#62;, Veröffentlichungen aus dem Staatsarchiv der Freien und Hansestadt Hamburg 21 (Hamburg, 2006).",NULL
"564","Ohling 1938","Ohling, Gerhard Dietrich, &#60;q&#62;Apen. Was enthält der Name, und welche Bedeutung hatte der Ort in mittelalterlicher Zeit?&#60;/q&#62;, &#60;cite&#62;Oldenburger Jahrbuch für Altertumskunde und Landesgeschichte&#60;/cite&#62; 42 (1938), 130-140.",NULL
"566","Scherf 2013","Scherf, Eva, &#60;cite&#62;Hettstedt. Reichtum der Provinz – Städte in Mitteldeutschland Bd. 2&#60;/cite&#62; (Halle 2013)",NULL
"568","Specht 1941","Specht, Heinrich, &#60;cite&#62;Nordhorn. Geschichte einer Grenzstadt&#60;/cite&#62; (Nordhorn, 1941)","secondary"
"570","Fütterer 2016","Fütterer, Pierre, &#60;cite&#62;Wege und Herrschaft. Untersuchungen zu Raumerschließung und Raumerfassung in Ostsachsen und Thüringen im 10. und 11. Jahrhundert&#60;/cite&#62; (Regensburg 2016)",
"572","Held 1985","Held, Wieland, &#60;q&#62;Die Sicherung der Ernährung als bedeutsame Komponente der Beziehungen zwischen Stadt und Land in Thüringen im 16. Jh.&#60;/q&#62;, in &#60;cite&#62;Jahrbuch für Wirtschaftsgeschichte&#60;/cite&#62; II (1985), 119-130.",NULL
"574","Ortslexikon Hessen","LAGIS Hessen - &#60;a href=&#34;https://www.lagis-hessen.de/de/subjects/index/sn/ol&#34;&#62;Historisches Ortslexikon&#60;/a&#62;","secondary"
"582","Zschieschang 2017","Zschieschang, Christian, &#60;cite&#62;Das Hersfelder Zehntverzeichnis und die frühmittelalterliche Grenzsituation an der mittleren Saale.&#60;/cite&#62; (Köln – Weimar – Wien 2017)",NULL
"584","Landau 1865","Landau, Georg, &#60;q&#62;Breuiarium sancti Lvlli archiepiscopi.&#60;/q&#62;, in &#60;cite&#62;Zeitschrift des Vereins für hessische Geschichte und Landeskunde.&#60;/cite&#62; 10 (1865), 184-192.",NULL
"586","Patze und Aufgebauer 1989","Patze, Hans, and Peter Aufgebauer (eds.), &#60;cite&#62; Handbuch der historischen Stätten Deutschlands. Band 9: Thüringen.&#60;/cite&#62; (Stuttgart 1989)","secondary"
"588","Frijhoff e.a., 1996","Frijhoff, Willem e.a. (ed), &#60;cite&#62; Geschiedenis van Dordrecht van 1572 tot 1813&#60;/cite&#62; (Hilversum, 1998)",NULL
"590","Jensen 1995","Jensen, Jørgen Elsøe, &#60;cite&#62;Danmarks Middelalderlige Byplaner. Nordjylland&#60;/cite&#62;, Aarhus 1995. ",NULL
"592","Dobenecker 1898","Dobenecker, Otto (ed.), &#60;cite&#62; Regesta diplomatica necnon epistolaria historiae Thuringiae (1152 1210). Band 2 Teil 1.&#60;/cite&#62; (Jena 1898)",NULL
"594","Stimming 1932","Stimming, Manfred (ed.), &#60;cite&#62;Mainzer Urkundenbuch. Erster Band: Die Urkunden bis zum Tode Erzbischof Adalberts I. (1137)&#60;/cite&#62; (Darmstadt 1932)",NULL
"596","Philippi 2015","Philippi, Nikolaus, &#60;cite&#62;Thüringer Zollgeschichte: Die Zollgeschichte der Städte Eisenach, Erfurt, Gotha, Langensalza, Mühlhausen und Schmalkalden in Thüringen.&#60;/cite&#62; (Bad Langensalza 2015).",NULL
"598","Scholz-Babisch, 1971","Scholz-Babisch, Marie, &#60;cite&#62; Quellen zur Geschichte des Klevischen Rheinzollwesens vom 11. bis. 18. Jahrhundert &#60;/cite&#62; (Wiesbaden, 1971)",NULL
"600","Sloet 1852","Sloet, Baron L.A.J.W., &#60;cite&#62;Bijdragen tot de kennis van Gelderland&#60;/cite&#62; (Arnhem, 1852-1855)","secondary"
"602","Müller 2002","Müller, Christine, &#60;q&#62;Enstehungszeit und topographische Entwicklung der Stadt Weißensee/Thür.&#60;/q&#62;, &#60;cite&#62;Hausbau in Thüringen und angrenzenden Regionen, Jahrbuch für Hausforschung&#60;/cite&#62; 48 (2002), 131 – 140.",NULL
"604","Kristensen 2013","Kristensen, Hans Krongaard, &#34;Børglum Domkirke og Kloster i middelalderen&#34;, Aalborg, 2013.  ",NULL
"606","Kristensen, Krongaard and Poulsen 2016","Kristensen, Hans Krongaard &#38; Poulsen, Bjørn, &#60;cite&#62;Danmarks byer i middelalderen&#60;/cite&#62;, ed. Kasper H. Andersen and Mikkel Thelle, Aarhus, 2016. ",NULL
"608","Remmers, 2008","Remmers, Arend,&#60;cite&#62; Die Siedlungsnamen des Ammerlandes. Ihre Herkunft und Bedeutung&#60;/cite&#62; (Oldenburg, 2008)",NULL
"610","Ohainski et al.","Ohainski, Uwe et al., &#60;cite&#62;Die Ortsnamen des Kreises Hildesheim&#60;/cite&#62;, Niedersächsisches Ortsnamenbuch (in preparation)","secondary"
"612","Ohainski et al.","Ohainski, Uwe et al., &#60;cite&#62;Die Ortsnamen des Kreises Hameln-Pyrmont.&#60;/cite&#62; Niedersächsisches Ortsnamenbuch (in preparation)",NULL
"614","Geßling 1990","Geßling, Anne, &#60;q&#62;Vom Handel und Wandel. Messen und Märkte an der Straße&#60;/q&#62;, in &#60;cite&#62;&#34;Die Straße&#34;. Geschichte und Gegenwart eines Handelsweges&#60;/cite&#62;, ed. by Willi Stubenvoll, Verwaltung der Staatlichen Schlösser und Gärten Hessen (Frankfurt/M. 1990), 19-39.",NULL
"616","Puffahrt","Puffahrt, Otto, &#60;q&#62;Zur Geschichte der Jeetze(l)schifffahrt zwischen Salzwedel und Hitzacker&#60;/q&#62;, in &#60;cite&#62;Regionalgeschichte Hannoversches Wendland, Bd. 1: Ernst-Köhring-Vorträge zur Geschichte des Wendlandes 2009-2011&#60;/cite&#62;, ed. by Stephan Freiherr von Welck (Lüchow, 2012), 73-89",NULL
"618","Casemir; Ohainski 2018","Casemir, Kirstin; Ohainski, Uwe (ed.), &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil X: Die Ortsnamen des Landkreises Goslar&#60;/cite&#62; (Bielefeld, 2018)","secondary"
"620","Gringmuth-Dallmer 1966","Gringmuth-Dallmer, Hanns, &#60;q&#62;Magdeburg. Haupthandelsplatz an der mittleren Elbe.&#60;/q&#62; In &#60;cite&#62;Hansische Geschichtsblätter&#60;/cite&#62; 84 (1966), 8-19.&#13;&#10;","secondary"
"622","Nippert 1996","Nippert, Klaus (ed.), &#60;cite&#62;Die Register der Ämter Lüchow und Warpke (1548-1574)&#60;/cite&#62;, Schriftenreihe des Heimatkundlichen Arbeitskreises Lüchow-Dannenberg 10 (Lüchow, 1996).",NULL
"624","Weissenborn 1901","Weissenborn, Bernhard, &#60;cite&#62;Die Elbzölle und Elbstapelplätze im Mittelalter&#60;/cite&#62; (Halle a. S., 1901)","secondary"
"626","Mänß 1903","Mänß, Johannes, &#60;q&#62;Geschichte des Magdeburger Stapelrechts.&#60;/q&#62; In: &#60;cite&#62;Geschichtsblätter für Stadt und Land Magdeburg&#60;/cite&#62; 38 (1903), 131-191.",NULL
"628","Brokamp 2007","Brokamp, Bertus, &#60;cite&#62;Landweren in Nederland, Deel I, Beschrijving&#60;/cite&#62; (Utrecht, 2007) ",NULL
"630","Husmeier 2008","Husmeier, Gudrun (ed.), &#60;cite&#62;Geschichtliches Ortsverzeichnis für Schaumburg&#60;/cite&#62;, Schaumburger Studien 68 (Bielefeld, 2008)",NULL
"632","Wrede 1977","Wrede, Günther, &#60;cite&#62;Geschichtliches Ortsverzeichnis des ehemaligen Fürstbistums Osnabrück. L-Z&#60;/cite&#62; Geschichtliches Ortsverzeichnis von Niedersachsen 3 (Hildesheim 1977)","secondary"
"634","Wrede 1975","Wrede, Günther, &#60;cite&#62;Geschichtliches Ortsverzeichnis des ehemaligen Fürstbistums Osnabrück. A-K&#60;/cite&#62; Geschichtliches Ortsverzeichnis von Niedersachsen 3 (Hildesheim 1975)","secondary"
"636","Archief Gelderse Rekenkamer","Martens van Sevenhoven, A.H.,&#60;cite&#62;Inventaris Archief Gelderse Rekenkamer &#60;/cite&#62; Gelders Archief, 0012 Gelderse Rekenkamer (Arnhem, z.j.)                     &#13;&#10;&#13;&#10;https://www.geldersarchief.nl/bronnen/archieven?mivast=37&#38;mizig=210&#38;miadt=37&#38;micode=0012&#38;milang=nl&#38;mizk_alle=tol%20arnhem&#38;miview=inv2#inv3t0",
"638","Jensen 1998","Jensen, Jørgen Elsøe, &#60;cite&#62;Danmarks Middelalderlige Byplaner. Midtjylland&#60;/cite&#62;, Aarhus 1998. ",NULL
"640","Wittek 2009","Wittek, Gudrun, &#60;cite&#62;Die Magdeburger Messe im Mittelalter: Gründungsfest – Heiligenkult – Jahrmarkt – Volksfest.&#60;/cite&#62; (Magdeburg 2009).",NULL
"642","Gerbing 1899","Gerbing, Luise, &#60;q&#62;Erfurter Handel und Handelsstrassen.&#60;/q&#62; in &#60;cite&#62;Mitteilungen des Vereins für die Geschichte und Altertumskunde Erfurts&#60;/cite&#62; 21 (1899), 97 – 148.",NULL
"644","Wittek 1983","Wittek, Gudrun, &#60;q&#62;Zur Entstehung der Stadt Halbertstadt und ihrer Entwicklung bis Mitte des 13. Jahrhunderts.&#60;/q&#62; in: &#60;cite&#62;Nordharzer Jahrbuch.&#60;/cite&#62; 9 (1983), 25-57.",NULL
"646","Mrusek 1994","Mrusek, Hans-Joachim, &#60;cite&#62;Zur städtebaulichen Entwicklung Magdeburgs im Hohen Mittelalter.&#60;/cite&#62; (Halle/Saale 1994).",NULL
"648","Iversen, Robinson, Hjermind & Christensen 2005","Iversen, Mette, Robinson, David Earle, Hjermind, Jesper &#38; Christensen, Charlie ed., &#60;cite&#62;Viborg Søndersø 1018-1030. Arkælogi og naturvidenskab i et værkstedsområde fra vikingetid&#60;/cite&#62;, (Viborg 2005).  ",NULL
"650","Andrén 1985","Andrén, Anders, &#60;cite&#62;Den urbane scenen. Städer och samhälle i det medeltida Danmark&#60;/cite&#62; (Lund, 1985).",NULL
"652","Keyser 1941","Keyser, Erich (ed.), &#60;cite&#62;Deutsches Städtebuch. Band II: Mitteldeutschland&#60;/cite&#62; (Stuttgart; Berlin, 1941).","secondary"
"654","Ortsdatenbank Ostfriesland","Historische Ortsdatenbank Ostfriesland, online at: &#60;a href=&#34;https://www.ostfriesischelandschaft.de/624.html&#34;&#62;https://www.ostfriesischelandschaft.de/624.html&#60;/a&#62;",NULL
"656","v. Heinemann 1867-83.","v. Heinemann, Otto (Hrsg.), &#60;cite&#62;Codex Diplomaticus Anhaltinus&#60;/cite&#62;, 6 Bände (Dessau 1867-83).",NULL
"658","Jensen 1994","Jensen, Jørgen Elsøe, &#60;cite&#62;Danmarks Middelalderlige Byplaner. Syd- og Sønderjylland&#60;/cite&#62;, Odense, 1994. ",NULL
"660","Mänß 1897","Mänß, Johannes, &#60;q&#62;Zur Geschichte der Elbe bei Magdeburg.&#60;/q&#62; In: &#60;cite&#62;Geschichtsblätter für Stadt und Land Magdeburg&#60;/cite&#62; 32 (1897), 297-325.","secondary"
"662","Kieffer-Olsen and Madsen 1997","Kieffer-Olsen, Jakob and Madsen, Per Kristian, &#60;q&#62;Middelalderens&#13;&#10;Vejle ca. 1100-1600&#60;/q&#62;, in &#60;cite&#62;Fra Vadested til by – indtil 1786. Vejles&#13;&#10;Historie, bd. 1&#60;/cite&#62;, ed. Asbjørn Hellum, Vejle 1997, pp. 63-133.&#13;&#10;",NULL
"664","Bergmann 1986","Bergmann, Franz-Joseph, &#60;q&#62;Die Entwicklung des Rechtsstatus der Doppelstadt Warburg&#60;/q&#62;, in &#60;cite&#62;Die Stadt Warburg. Beiträge zur Geschichte einer Stadt&#60;/cite&#62;, Bd. I, ed. by Franz Mürmann (Warburg, 1986), 89-152.",NULL
"666","Schoppmeyer 1986","Schoppmeyer, Heinrich, &#60;q&#62;Warburg im Mittelalter und Neuzeit. Herrschaftssitz - Doppelstadt - territorialer Vorort&#60;/q&#62;, in &#60;cite&#62;Die Stadt Warburg. Beiträge zur Geschichte einer Stadt&#60;/cite&#62;, Bd. I, ed. by Franz Mürmann (Warburg, 1986), 199-296.",NULL
"668","Reimers 1930","Reimers, H. (ed.), &#60;cite&#62;Balthasar Arends Landesbeschreibung vom Harlingerland&#60;/cite&#62; (Wittmund, 1930).",NULL
"670","Rogowski 1967","Rogowski, Hellmut, &#60;cite&#62;Verfassung und Verwaltung der Herrschaft und Stadt Jever von den Anfängen bis zum Jahre 1807&#60;/cite&#62; (Oldenburg, 1967).",NULL
"672","Kristensen 2016","Kristensen, Tenna R. (ed.), &#60;cite&#62;Haderslev - En købstad bliver tid. Udgravninger ved Starup og Møllestrømmen&#60;/cite&#62;, Haderslev 2016. ",NULL
"674","Jablonowski 2010","Jablonowski, Ulla, &#60;q&#62;Ein Gang durch das alte Warmsdorf: Die drei großen Perioden seiner Geschichte.&#60;/q&#62; in: &#60;cite&#62;Mitteilungen des Vereins für Anhaltische Landeskunde&#60;/cite&#62; 9 (2010), 97-128.",NULL
"676","Böhlk 2012","Böhlk, Olaf, &#60;q&#62;Warum entstand die Stadt Bernburg? Die Rolle der askanischen Stadtgründung an der Saale bei der Entstehung des späteren Landes Anhalt.&#60;/q&#62; In: &#60;cite&#62;Mitteilungen des Vereins für Anhaltische Landeskunde&#60;/cite&#62; 21 (2012), 109 - 134.",NULL
"678","Alpers; Barenscheer 1952","Alpers, Paul; Barenscheer, Friedrich (ed.), &#60;cite&#62;Celler Flurnamenbuch. Die Flurnamen der Stadt und des Landkreises Celle &#60;/cite&#62; (Celle 1952)","secondary"
"680","Madsen 2005.","Madsen, Lennart Secher, &#60;q&#62;Sønderborg i middelalderen&#60;/q&#62;, in &#60;cite&#62;Sønderborg i 750 år – tværsnit og perspektiver&#60;/cite&#62;, ed. by &#13;&#10;Inge Adriansen &#38; Peter Dragsbo, Sønderborg 2005, pp. 11-40.&#13;&#10;",NULL
"682","Remmers 2004","Remmers, Arend, &#60;cite&#62;Von Aaltukerei bis Zwischenmooren. Die Siedlungsnamen zwischen Dollart und Jade&#60;/cite&#62; (Leer 2004)",NULL
"684","Scholz 2006","Scholz, Michael. &#60;q&#62; Vom Herrschaftszentrum zum Wirtschaftshof - die Burg GIebichenstein im Spätmittelalter und im 16. Jahrhundert.&#60;/q&#62; in: &#60;cite&#62;Geschichte der Stadt Halle. Band 1: Halle im Mittelalter und in der Frühen Neuzeit.&#60;/cite&#62; ed. by Werner Freitag und Andreas Ranft (Halle (Saale) 2006), 367 - 378.",NULL
"686","Ranft und Ruprecht 2006","Ranft, Andreas und Michael Ruprecht, &#60;q&#62;Kommunenbildung,Sakralgemeinschaft und Stadtkonflikte – die Salzstadt Halle 1100 bis 1478.&#60;/q&#62; in: &#60;cite&#62;Geschichte der Stadt Halle. Band 1: Halle im Mittelalter und in der Frühen Neuzeit.&#60;/cite&#62; ed. by Werner Freitag und Andreas Ranft (Halle (Saale) 2006), 101 - 155.",
"688","Neuss 1968","Neuss, Erich (Hrsg.), &#60;cite&#62;Das alte Halle: aus den Schriften von Siegmar von Schultze-Galléra.&#60;/cite&#62; (Leipzig 1968).",NULL
"690","Nagel 2001","Nagel, Horst, &#60;q&#62;Straßen und Brücken in und um Quedlinburg und ihr Einfluss auf die Stadtentwicklung.&#60;/q&#62; in: &#60;cite&#62;Quedlinbuger Annalen&#60;/cite&#62; 4 (2001), 10 -27.",NULL
"692","Blaschke 1993","Blaschke, Karlheinz, &#60;q&#62;Art. Mühlhausen (Thüringen, Deutschland)&#60;/q&#62;, in:  &#60;cite&#62;Lexikon des Mittelalters&#60;/cite&#62;, Tl. 6, Sp. 892. ",NULL
"694","Bemmann 1910","Bemmann, Rudolf, &#60;q&#62; Der Waidhandel der Reichsstadt Mühlhausen i. Th. besonders im 14. und 15. Jahrhundert.&#60;/q&#62; in: Mühlhäuser Geschichtsblätter 11 (1910/1911), 109 - 119.",NULL
"696","Aulepp 1980","Aulepp, Rolf, &#60;q&#62;Fernverkehrswege, Plätze und Märkte im mittelalterlichen Mühlhausen.&#60;/q&#62; in: &#60;cite&#62;Mühlhäuser Beiträge zur Geschichte und Kulturgeschichte&#60;/cite&#62; 3 (1980), 34-51.",NULL
"698","Groth 1924","Groth, Hugo, &#60;q&#62;Die Kämmerei-Rechnungen von 1407 und 1409.&#60;/q&#62; in: &#60;cite&#62;Mühlhäuser Geschichtsblätter&#60;/cite&#62; 29 (1928-1929), 119 - 168.",NULL
"700","Gockel 2000","Gockel, Michael, &#60;cite&#62;Die deutschen Königspfalzen. Repertorium der Pfalzen, Königshöfe und übrigen Aufenthaltsorte der Könige im deutschen Reich des Mittelalters.&#60;/cite&#62; Bd. 2: Thüringen. (Göttingen 2000).",NULL
"702","Eberhardt 1981","Eberhardt, Werner, &#60;q&#62;Erfurt im Netz der mittelalterlichen Handelsstraßen.&#60;/q&#62; in: &#60;cite&#62;Urgeschichte und Heimatforschung: Mitteilungsblatt.&#60;/cite&#62; 18 (1981), 40 - 53.",NULL
"704","Eberhardt 1982","Eberhardt, Werner &#60;q&#62;Erfurt im Netz der mittelalterlichen Handelsstraßen.&#60;/q&#62; in: &#60;cite&#62;Urgeschichte und Heimatforschung: Mitteilungsblatt.&#60;/cite&#62; 19 (1982), 16 - 31.",NULL
"706","Behrens 2001","Behrens, Heinz A., &#60;q&#62;Zur Entstehungsgeschichte der Burg Zilly.&#60;/q&#62; in: &#60;cite&#62;Burgen und Schlösser in Sachsen-Anhalt&#60;/cite&#62; 10 (2001), 158 - 180.",NULL
"708","Keil 1932","Keil, Ernst, &#60;q&#62;Das anhaltische Gericht Hoym im Pfandbesitz der Stadt Quedlinburg 1417-1424 und 1434-1473.&#60;/q&#62; in: &#60;cite&#62;Zeitschrift des Harzvereins für Geschichte und Alterthumskunde.&#60;/cite&#62; 65 (1932), 82 - 111.",NULL
"710","Schmidt 1882","Schmidt, Julius (ed.), &#60;cite&#62;Beschreibende Darstellung der älteren Bau- und Kunstdenkmäler des Kreises Sangerhausen.&#60;/cite&#62; (Halle 1882).","secondary"
"712","Schmitt 2001","Schmitt, Reinhard, &#60;q&#62;Zur Geschichte und Baugeschichte der Burg Arnstein, Kreis Mansfelder Land.&#60;/q&#62; in: &#60;cite&#62;Burgen und Schlösser in Sachsen-Anhalt.&#60;/cite&#62; 10 (2001), 33 - 135.",NULL
"714","Neefjes and Bleumink 2015","Neefjes, Jan; Bleumink, Hans, &#60;cite&#62; Erfgoedatlas Gemeente Nunspeet. Veluws landschap, historie en bewoners &#60;/cite&#62; (Zwolle, 2015).",NULL
"716","Pul-Tasseron 2001","Pul-Tasseron, Anneke, &#60;q&#62;De herberg Oud Soerel&#60;/q&#62;, &#60;cite&#62; Mothoek&#60;/cite&#62; 17 (2001) 2, 57.","secondary"
"718","Jensen 1994","Jensen, Jørgen Elsøe, &#60;cite&#62;Danmarks Middelalderlige Byplaner. Lolland, Falster, Møn&#60;/cite&#62;, Odense, 1994.",NULL
"720","Kahl 2010","Kahl, Wolfgang, &#60;cite&#62;Ersterwähnung Thüringer Städte und Dörfer. Ein Handbuch.&#60;/cite&#62; (Bad Langensalza 2010).",NULL
"722","Heydenreich 1928","Heydenreich, Fritz, &#60;cite&#62;Die Geschichte der Naumburger Peter-Paulsmesse.&#60;/cite&#62; (Naumburg a. S. 1928).",NULL
"724","Bahn 2002","Bahn, Bernd, &#60;q&#62;Zur via regia zwischen Thüringen und Sachsen.&#60;/q&#62; in: &#60;cite&#62;Im Dienste der historischen Landeskunde. Beiträge zu Archäologie, Mittelalterforschung, Namenkunde und Museumsarbeit vornehmlich in Sachsen. Festgabe für Gerhard Billig zum Geburtstag dargebracht von Schülern und Kollegen&#60;/cite&#62;, ed. by Rainer Aurig et al. (Beucha 2002). 275 - 294.",
"726","Sommer and Otte 1882.","Sommer, Gustav and Heinrich Otte (ed.), &#60;cite&#62;Beschreibende Darstellung der älteren Bau- und Kunstdenkmäler der Provinz Sachsen und angrenzender Gebiete. Bd. 1: Beschreibende Darstellung der älteren Bau- und Kunstdenkmäler des Kreises Zeitz&#60;/cite&#62;, (Halle a.d. Saale 1882).",
"728","Eckhardt 2011","Eckhardt, Albrecht (ed.), &#60;cite&#62; Oldenburgisches Ortslexikon. Archäologie, Geografie und Geschichte des Oldenburger Landes. Band 2: L-Z&#60;/cite&#62; (Oldenburg, 2011)",
"730","Eckhardt 2010","Eckhardt, Albrecht (ed.), &#60;cite&#62; Oldenburgisches Ortslexikon. Archäologie, Geografie und Geschichte des Oldenburger Landes. Band 1: A-K &#60;/cite&#62; (Oldenburg, 2010)",
"732","Veen et. al. 2016","Veen, Peter; Otten, Dirk; Leeflang, Leen; Berends, Gerard, &#60;cite&#62; Van kloostergoed naar herengoed. Acht eeuwen landschaps- en landbouwgeschiedenis van de gemeente Nunspeet&#60;/cite&#62; (Nunspeet, 2016).",
"734","Rutte et. al. 2003","Rutte, Reinout; Visser, Ko; Boerefijn, Wim, &#60;q&#62;Stadsaanleg in de late middeleeuwen. Over bouwpercelen, straten en standaardmaten in Elburg en enige andere steden&#60;/q&#62;, &#60;cite&#62; Bulletin KNOB&#60;/cite&#62; 4/5 (2003), 122-137.",
"736","Stoob 1982","Stoob, Heinz, &#60;q&#62;Haldensleben, Burg und Stadt, bis zum späten Mittelalter.&#60;/q&#62;in: Helmut Maurer und Hans Patze (Hrsg.), &#60;cite&#62;Festschrift für Berent Schwineköper. Zu seinem siebzigsten Geburtstag&#60;/cite&#62;, (Sigmaringen 1982).",
"738","Koch 1966","Koch, Herbert, &#60;cite&#62;Geschichte der Stadt Jena.&#60;/cite&#62; (Stuttgart 1966).",
"740","Neumann 1963","Neumann, Gotthard, &#60;q&#62;Alte Straßen in und um Jena. Ein Beitrag zur Jenaer Geschichte&#60;/q&#62;, In: &#60;cite&#62;Forschungen und Fortschritte&#60;/cite&#62; 37, 4 (1963), 106-109.",
"742","Leem",,
"744","Bondam, 1789","Bondam, Pieter, &#60;cite&#62;Charterboek Der Hertogen van Gelderland en Graaven van Zutphen &#60;/cite&#62; (Utrecht, 1789)","secondary"
"746","Verkerk, 1782","Verkerk, Hendrik Godefridus, &#60;cite&#62; Codex Telonium. Verhandeling over de watertollen &#60;/cite&#62; 1782","archive"
